"고유번호","작품분류코드","작품분류명","관리번호(년도)","관리번호(번호)","작품명(국문)","작품명(영문)","작품규격","액자규격","제작년도","재료/기법","기증자","수집년도","소장처분류코드","소장처분류명","작품캡션","작가명","메인이미지","썸네일이미지"
"930","A02","회화","2001","213","속·농자천하지대본-연혁","","189.5*102.5cm","210.5*122.7cm","1984","부대종이에 아크릴릭, 꼴라주","","2001","B02","북서울미술관 수장고","","이종구","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1830","http://collections.eseoul.go.kr/data/art/thumb/0930.jpg"
"931","A02","회화","2001","214","전쟁교본","","200 X 45","","1998","혼합재료","","2001","B02","북서울미술관 수장고","","주재환","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1831","http://collections.eseoul.go.kr/data/art/thumb/0931.jpg"
"932","A02","회화","2001","215","서울카페","","197 X 144 X 6점","","1991","캔버스에 유채","","2001","B02","북서울미술관 수장고","","이흥덕","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1832","http://collections.eseoul.go.kr/data/art/thumb/0932.jpg"
"933","A02","회화","2001","216","기념사진","","186 X 267.5","","1985","인화지에 아크릴릭, 드로잉 잉크","","2001","B02","북서울미술관 수장고","안창홍(1953― )은 동아고등학교를 졸업하였다. 2006년 부산 공간화랑, 2013년 대안공간 루프 등에서 개인전을 열었고, 1983년 〈현실과 발언 동인전〉(관훈미술관), 2003년 제1회 북경비엔날레, 2013년 〈사람아 사람아〉(경기도미술관) 등의 단체전에 참여하였다. 1989년 카뉴국제회화제 심사위원 특별상, 2000년 제10회 봉생문화상 전시부문, 2001년 제1회 부일미술 대상, 2009년 제10회 이인성미술상, 2013년 제25회 이중섭미술상 등을 수상하였다.  ‘마이너리티 작가’로 불리는 안창홍은 1970년대부터 독특한 표현력을 바탕으로 인간 사회를 꿰뚫어보고 비판하는 그림을 그렸다. 초기에는 주로 인물 초상화를 그리다가 1979년부터 1982년까지 그린 ‘가족사진’ 연작을 통해 널리 알려졌다. 오래된 가족사진을 캔버스에 옮겨 그린 이 작품들에서 인물들은 여전히 우화적으로 묘사되어 있고 눈을 파내거나 그리지 않아 섬뜩한 느낌을 준다. 이후 작가는 1980년대 중반부터 ‘현실과 발언’ 활동을 통해 제작한 ‘전쟁’ 연작 등에서 좀 더 사회비판적인 그림을 그리기 시작했다. 한편 이 시기까지의 작품이 서술적이고 복잡하다면, 1990년대 작업은 비교적 단순하면서도 상징적이다. 2000년대에는 문명에서 자연으로 주제를 바꾸고, 다시 2000년대 후반에는 주위 인물들에게로 눈을 돌려 일상적인 사람들의 누드화를 그렸다. 다양한 소재를 다루는 안창홍의 작품은 인간의 절망과 고통을 우화적으로 표현한다는 평가를 받는다.  〈기념사진〉(1985)은 안창홍의 1980년대 ‘기념사진’ 연작 중 하나로, 작가는 직접 수집한 1950, 1960년대의 오래된 사진들을 캔버스에 크게 전사하고 그 위에 그림을 그렸다. 이 작품은 옛날 어느 학교의 반 단체사진을 이용한 것이다. 사진이 오래된 탓에 군데군데 구멍이 뚫려 있거나 얼룩이 있는데, 작가는 주로 중심에 있는 인물들의 눈과 입에 마치 얼룩처럼 보이는 구멍을 그려 놓았다. 이 작품은 이미 과거가 되어 버린 순간을 캔버스 위로 불러냄으로써 사진의 역할을 환기시키면서, 눈과 입을 잃어버린 얼굴들을 통해 단체와 개인, 역사와 개인의 관계에 대해 질문을 던진다. ","안창홍","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1833","http://collections.eseoul.go.kr/data/art/thumb/0933.jpg"
"934","A02","회화","2001","217","아침이슬","","227 X 182 X 3점","","1993","캔버스에 아크릴릭","","2001","B02","북서울미술관 수장고","","최진욱","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1834","http://collections.eseoul.go.kr/data/art/thumb/0934.jpg"
"935","A01","한국화","2001","218","한강","","117.5*268.3cm","146.5*310cm","1992","한지에 먹과 채색","","2001","B02","북서울미술관 수장고","<한강>(1992)은 북한산, 인왕산, 용마산 등 서울 곳곳을 돌아다니면서 직접 그린 스케치를 바탕으로 제작한 실경산수 연작 <서울별곡> 중 하나다. 서대문구에 위치한 안산에서 내려다 본 한강과 여의도의 모습은 화면을 가로지르는 한강에 놓인 세 개의 다리 함께 시원하게 펼쳐진다. 화면 가득히 담아낸 풍경에는 63빌딩 등 도심을 대표하는 건물의 형태만 모호하게 암시될 뿐, 전체적으로 산, 아파트, 건물, 도로가 명확히 구분되지 않은 채 펼쳐지고 있다. 중첩된 붓질과 어두운 색조는 작품에 무게감을 더하면서 호분을 여러 번 덧칠해 올린 작가 특유의 기법을 엿볼 수 있게 한다. ","강경구","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1835","http://collections.eseoul.go.kr/data/art/thumb/0935.jpg"
"936","A02","회화","2001","219","오월 유월, 1991","","112*79cm","120.6*88cm","1991","혼합재료","","2001","B02","북서울미술관 수장고","","박찬경","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1836","http://collections.eseoul.go.kr/data/art/thumb/0936.jpg"
"937","A02","회화","2001","220","이미지의 삶과 죽음 1","","24.5*31cm","45.5*52cm","1992","몽타쥬","","2001","B02","북서울미술관 수장고","","박찬경","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1837","http://collections.eseoul.go.kr/data/art/thumb/0937.jpg"
"938","A02","회화","2001","221","이미지의 삶과 죽음 2","","45*45cm","50*50cm","1992","몽타쥬","","2001","B02","북서울미술관 수장고","","박찬경","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1838","http://collections.eseoul.go.kr/data/art/thumb/0938.jpg"
"939","A02","회화","2001","222","이미지의 삶과 죽음 3","","67*42cm","68.5*43cm","1992","몽타쥬","","2001","B02","북서울미술관 수장고","","박찬경","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1839","http://collections.eseoul.go.kr/data/art/thumb/0939.jpg"
"940","A02","회화","2001","223","이미지의 삶과 죽음 4","","39.5*51cm","42.5*55.5cm","1992","몽타쥬","","2001","B02","북서울미술관 수장고","","박찬경","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1840","http://collections.eseoul.go.kr/data/art/thumb/0940.jpg"
"941","A02","회화","2001","224","이미지의 삶과 죽음 5","","80*69cm","83.5*74cm","1992","몽타쥬","","2001","B02","북서울미술관 수장고","","박찬경","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1841","http://collections.eseoul.go.kr/data/art/thumb/0941.jpg"
"942","A02","회화","2001","225","이미지의 삶과 죽음 6","","24.5*31cm","35.5*42cm","1992","몽타쥬","","2001","B02","북서울미술관 수장고","","박찬경","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1842","http://collections.eseoul.go.kr/data/art/thumb/0942.jpg"
"943","A02","회화","2001","226","이미지의 삶과 죽음 7","","32*49cm","36.5*53.5cm","1992","몽타쥬","","2001","B02","북서울미술관 수장고","","박찬경","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1843","http://collections.eseoul.go.kr/data/art/thumb/0943.jpg"
"944","A02","회화","2001","227","이미지의 삶과 죽음 8","","57*37cm","58.5*38cm","1992","몽타쥬","","2001","B02","북서울미술관 수장고","","박찬경","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1844","http://collections.eseoul.go.kr/data/art/thumb/0944.jpg"
"945","A02","회화","2001","228","이미지의 삶과 죽음 9","","101*75.5cm","101.5*76.5cm","1992","몽타쥬","","2001","B02","북서울미술관 수장고","","박찬경","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1845","http://collections.eseoul.go.kr/data/art/thumb/0945.jpg"
"946","A02","회화","2001","229","이미지의 삶과 죽음 10","","100.3*65.5cm","102*67cm","1992","몽타쥬","","2001","B02","북서울미술관 수장고","","박찬경","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1846","http://collections.eseoul.go.kr/data/art/thumb/0946.jpg"
"947","A02","회화","2001","230","아름다운 우리강산","","150 X 146","153 X 153","2000","캔버스에 유채","","2001","B02","북서울미술관 수장고","","이한우","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1847","http://collections.eseoul.go.kr/data/art/thumb/0947.jpg"
"948","A02","회화","2001","231","5월","","227.3 X 162","233 X 167","1970","캔버스에 유채","","2001","B02","북서울미술관 수장고","","정문현","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1848","http://collections.eseoul.go.kr/data/art/thumb/0948.jpg"
"949","A02","회화","2001","232","소있는 풍경","","199.5 X 160","204.8*165cm","1992","캔버스에 유채","","2001","B02","북서울미술관 수장고","","황영성","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1849","http://collections.eseoul.go.kr/data/art/thumb/0949.jpg"
"950","A02","회화","2001","233","가족이야기","","200 X 200","","1996","캔버스에 유채","","2001","B02","북서울미술관 수장고","","황영성","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1850","http://collections.eseoul.go.kr/data/art/thumb/0950.jpg"
"951","A02","회화","2001","234","빛Ⅰ","","244 X 122 X 3점","","2000","캔버스에 유채","","2001","B02","북서울미술관 수장고","","이주영","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1851","http://collections.eseoul.go.kr/data/art/thumb/0951.jpg"
"952","A02","회화","2001","235","아름다운 것들, 또하나의 세계","","227 X 182 X 3점","","2001","캔버스에 유채, 아크릴릭","","2001","B02","북서울미술관 수장고","","윤형재","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1852","http://collections.eseoul.go.kr/data/art/thumb/0952.jpg"
"953","A01","한국화","2001","236","무제 L - 2032","","145 X 145","","2000","한지에 먹, 혼합재료","","2001","B02","북서울미술관 수장고","","이철주","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1853","http://collections.eseoul.go.kr/data/art/thumb/0953.jpg"
"954","A06","공예","2001","237","아리랑위성에서 본 서울의 모습","","130 X 130 X 16","","2001","혼합재료","","2001","B02","북서울미술관 수장고","","박성원","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1854","http://collections.eseoul.go.kr/data/art/thumb/0954.jpg"
"955","A06","공예","2001","238","한양옛지도","","132 X 132","","2000","흙, 모래, 철","","2001","B01","서소문본관 수장고","","한애규","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1855","http://collections.eseoul.go.kr/data/art/thumb/0955.jpg"
"956","A02","회화","2001","239","(서울) metro.seoul.kr","","141.5 X 141.5","143.5 X 143.5","2001","컴퓨터 그래픽지에 혼합재료","","2001","B01","서소문본관 수장고","","김관수","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1856","http://collections.eseoul.go.kr/data/art/thumb/0956.jpg"
"957","A02","회화","2001","240","무제","","70*141cm","81*152cm","1969","캔버스에 유채","","2001","B02","북서울미술관 수장고","","이광하","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1857","http://collections.eseoul.go.kr/data/art/thumb/0957.jpg"
"958","A02","회화","2001","241","무제","","72.7 X 90.9","89 X 107","1990","캔버스에 채색, 꼴라쥬","","2001","B02","북서울미술관 수장고","","김홍석(1935)","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1858","http://collections.eseoul.go.kr/data/art/thumb/0958.jpg"
"959","A02","회화","2001","242","베짱이와 개미","","130 X 160","142*172cm","1962","캔버스에 유채","","2001","B02","북서울미술관 수장고","","홍종명","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1861","http://collections.eseoul.go.kr/data/art/thumb/0959.jpg"
"960","A02","회화","2001","243","꽃과 여인","","61 X 73","90.6*102.5cm","1974","캔버스에 유채","","2001","B02","북서울미술관 수장고","","임직순","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1862","http://collections.eseoul.go.kr/data/art/thumb/0960.jpg"
"961","A02","회화","2001","244","바람","","113*163.5cm","114*164.5cm","1984","캔버스에 유채","","2001","B02","북서울미술관 수장고","","안병석","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1865","http://collections.eseoul.go.kr/data/art/thumb/0961.jpg"
"962","A02","회화","2001","245","무제","","168 X 121","174.5 X 127","1990","캔버스에 유채","","2001","B02","북서울미술관 수장고","김원숙(1953― )은 홍익대학교 재학 중 미국으로 건너가 일리노이 주립대학교와 대학원을 졸업한 후 미국에 정착하여 작품 활동을 하고 있다. 1976년 명동화랑 첫 개인전 이후, 2005년 2x13 갤러리(뉴욕) / 프로메가 아트센터(매디슨, 미국), 2006년 토마스 매코믹 갤러리(시카고) / 두가헌 갤러리(서울), 2009년 아라리오갤러리(뉴욕), 2010년 아콰 갤러리(볼로냐, 이탈리아), 2012년 갤러리현대 등에서 개인전을 개최했으며, 1997년 〈The Intimate Brush(팔로알토 문화센터, 미국), 1999년 〈전통과 혁신〉(메릴랜드대학 락빌미술관, 미국), 2008년 〈In there out there〉(박여숙화랑) 등 수많은 단체전에 참여하였다. 1978년 ‘미국의 여성작가’, 1995년 한국인으로서는 최초로 세계유엔후원자연맹 (WFUNA)이 선정한 ‘올해의 후원 미술인’으로 선정되었다.  김원숙의 그림들은 일면 단순하다. 강렬한 색채의 대비도 강한 붓의 스트로크의 거친 마티에르도 거창한 메시지도 없다. 그러나 그녀의 작품은 생활 속에서 겪게 되는 소소한 일상, 거기서 느끼고 생각하고 상상하는 작가의 내밀한 이야기들을 담고 있다. 이에 대해 미술비평가 송미숙은 “김원숙의 그림에서 두드러지고 있는 특징은 서정시적 감성”이라고 평하고 있다. 지난 기억, 삶 속의 경험에서 느끼는 작가의 기쁨. 슬픔, 분노, 노여움, 억울함, 난처함, 아름다움, 추함, 행복, 불행 등 다양하고 때로는 양립불가능 해 보이는 감정들의 혼합이 화면에서 은은한 향처럼 퍼져 나온다. 두 손으로 얼굴을 감싸고 슬픔에 흐느끼는 여인을 그녀의 그림자가 다독여주기도 하고(〈Shadow Comfort〉(1982)), 시원하게 쏟아지는 폭포수와는 대조적으로 평온한 삶 속에서도 해소되지 못하는 갈증을 느끼는 듯 여인이 폭포수 물을 마시기도 한다.(〈Thirst ll〉(1996)). 그의 대부분 작품에 등장하는 여인은 작가의 자전적 이야기를 독백하고 있는 듯하지만, 그의 작품은 여성 일반 더 나아가 인간 일반의 삶에 대한 이야기를 풀어내는 상징과 은유들로 가득 차 있다.  〈무제〉(1990) 역시 동일한 여인이 등장한다. 이번에는 혼자가 아니라 배우자로 보이는 남성과 함께인데, 그 모습이 위태롭기 짝이 없다. 시퍼렇게 출렁이는 강물을 가로지르는 가느다란 줄 위로 가로대를 손에 든 남자의 어깨 위에 여자는 물구나무를 서고 있다. 여인의 흰 드레스와 남성의 말끔한 수트 차림으로 보아 결혼식을 상징하는 것으로 볼 수도 있을 것이다. 커플 뒤로 보이는 불 켜진 집은 인생에 어두운 밤이 와도 언제나 밝게 빛날 것만 같지만, 커플의 위험해 보이는 곡예는 끝날 줄 모른다. 낯선 남녀가 만나 한 가정을 이루어 살아가는 삶이 모두 이와 같지 않을지, 김원숙은 자신의 모습을 빌어 이야기하고 있다. ","김원숙","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1866","http://collections.eseoul.go.kr/data/art/thumb/0962.jpg"
"963","A02","회화","2001","246","샹제리제","","45.5 X 53","62.3*69.8cm","년도미상","캔버스에 유채","","2001","B02","북서울미술관 수장고","","박영선","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1867","http://collections.eseoul.go.kr/data/art/thumb/0963.jpg"
"964","A02","회화","2001","247","분이네 외갓집","","90 X 117","121 X 147","1977","캔버스에 유채","","2001","B02","북서울미술관 수장고","","장리석","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1868","http://collections.eseoul.go.kr/data/art/thumb/0964.jpg"
"965","A01","한국화","2001","248","무제 L - 2033","","145 X 145","","2000","한지에 혼합재료","","2001","B02","북서울미술관 수장고","","이철주","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1871","http://collections.eseoul.go.kr/data/art/thumb/0965.jpg"
"966","A02","회화","2001","249","적막","","227 X 181.5 X 2점","","1997","캔버스에 유채","","2001","B02","북서울미술관 수장고","","오수환","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1872","http://collections.eseoul.go.kr/data/art/thumb/0966.jpg"
"967","A02","회화","2001","250","환 (幻)","","130.3*162.1","135*166cm","1998","캔버스에 아크릴릭","","2001","B02","북서울미술관 수장고","","이석주","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1877","http://collections.eseoul.go.kr/data/art/thumb/0967.jpg"
"968","A02","회화","2001","251","세월의 소리","","194 X 194","","1986","캔버스에 혼합재료","","2001","B02","북서울미술관 수장고","","제정자","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1878","http://collections.eseoul.go.kr/data/art/thumb/0968.jpg"
"969","A02","회화","2001","252","선과 면","","194 X 259","","1987","캔버스에 혼합재료","","2001","B02","북서울미술관 수장고","","제정자","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1879","http://collections.eseoul.go.kr/data/art/thumb/0969.jpg"
"970","A02","회화","2001","253","靜動 (정과동)","","162*130.5cm(*2개)","","2001","캔버스에 혼합재료","","2001","B02","북서울미술관 수장고","","제정자","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1880","http://collections.eseoul.go.kr/data/art/thumb/0970.jpg"
"971","A03","드로잉&판화","2001","254","自然 (자연)","","257 X 92","","1994","나무에 잉크","","2001","B01","서소문본관 수장고","","석난희","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1881","http://collections.eseoul.go.kr/data/art/thumb/0971.jpg"
"972","A03","드로잉&판화","2001","255","계단을 내려오는 봄비","","61*45.5cm","80*55.5cm","1987","리프로덕션","","2001","B01","서소문본관 수장고","","주재환","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1882","http://collections.eseoul.go.kr/data/art/thumb/0972.jpg"
"973","A02","회화","2001","256","볼펜튀기기","","103.7*149cm","109 X 154","1999","종이에 볼펜","기증자 : 주재환","2001","B02","북서울미술관 수장고","","주재환","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1885","http://collections.eseoul.go.kr/data/art/thumb/0973.jpg"
"974","A02","회화","2001","257","도망가는 임산부","","210 X 160, 210 X 107 X 2점","","1998","종이와 테이프","기증자 : 주재환","2001","B02","북서울미술관 수장고","","주재환","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1886","http://collections.eseoul.go.kr/data/art/thumb/0974.jpg"
"975","A02","회화","2001","258","모형인간","","230 X 136","","2000","모형재료","기증자 : 주재환","2001","B02","북서울미술관 수장고","","주재환","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1887","http://collections.eseoul.go.kr/data/art/thumb/0975.jpg"
"976","A01","한국화","2001","259","","Composition","125.2*64.2cm","147.2*84.2cm","1964","한지에 채색","","2001","B02","북서울미술관 수장고","","이응노","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1888","http://collections.eseoul.go.kr/data/art/thumb/0976.jpg"
"977","A01","한국화","2001","260","","Composition","140 X 70","157 X 87.5","1966","한지에 채색","","2001","B02","북서울미술관 수장고","","이응노","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1889","http://collections.eseoul.go.kr/data/art/thumb/0977.jpg"
"978","A01","한국화","2001","261","","Composition","68*130cm","84*147.5cm","1966","한지에 채색","","2001","B02","북서울미술관 수장고","","이응노","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1890","http://collections.eseoul.go.kr/data/art/thumb/0978.jpg"
"979","A01","한국화","2001","262","무제","","123 X 176","152 X 205.5","1990","한지에 혼합재료","","2001","B02","북서울미술관 수장고","","황창배","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1891","http://collections.eseoul.go.kr/data/art/thumb/0979.jpg"
"980","A02","회화","2001","263","작품 65","","147 X 112","","1965","캔버스에 혼합재료","","2001","B02","북서울미술관 수장고","","정창섭","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1894","http://collections.eseoul.go.kr/data/art/thumb/0980.jpg"
"981","A02","회화","2001","264","묘법 no.392-86","","192 X 98","","1986","캔버스에 한지, 혼합재료","","2001","B02","북서울미술관 수장고","","박서보","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=11979","http://collections.eseoul.go.kr/data/art/thumb/11979.jpg"
"982","A02","회화","2001","265","묘법 990608","","162 X 132","","1999","캔버스에 한지, 혼합재료","","2001","B02","북서울미술관 수장고","","박서보","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1898","http://collections.eseoul.go.kr/data/art/thumb/0982.jpg"
"983","A02","회화","2001","266","물방울","","182 X 230","205 X 253","1992","캔버스에 유채","","2001","B02","북서울미술관 수장고","김창열(1929― )은 조각가 이국전의 연구소와 이쾌대의 성북회화연구소에서 그림을 배웠고, 1948년 서울대학교 예술대학에 입학했으나 한국전쟁으로 졸업하지 못했다. 1961년 제2회 파리비엔날레, 1965년 상파울루비엔날레에 작품을 출품하며 국제 미술계에 대한 관심을 키웠다. 1966년 록펠러재단의 초청을 받아 미국에서 체류하며 뉴욕 아트스튜던츠리그에서 판화를 전공했으며, 1969년 이후 파리에 정착했다. 1994년 경주 선재미술관, 2004년 죄드폼미술관(파리), 2009년 부산시립미술관, 2012년 국립대만미술관, 2013년 갤러리현대, 2014년 광주시립미술관에서 개인전을 개최하였다. 1996년 프랑스문화훈장, 2012년 은관문화훈장을 받았다.  김창열은 ‘물방울 작가’로 잘 알려진 작가로, 물방울 작업을 처음 시작한 것은 1960년대 중반 파리에 정착한 이후의 일로, 1972년 살롱 드 메에 출품한 작품이 최초의 것으로 알려져 있다. 김창열은 한국화단의 앵포르멜 운동의 집단적 출현이었던 ‘현대미술가협회’의 창립회원으로 활동하면서, 앵포르멜 풍의 작품을 가지고 1961년 제2회 파리비엔날레에 참여하는 등 1960년대 중후반까지 추상 작품을 주로 선보였다. 한국전쟁의 참극과 그 앞에 무력한 인간의 절망을 비정형의 거친 화면으로 표현했던 당시 시대 감성을 함께 했는데, 〈제사〉(1964) 같은 작품이 대표적이다. 1960년대 말부터 물방울의 전조라고 할 수 있는 작품들이 제작되었다. 국립현대미술관 소장의 〈무제〉(1969) 등이 그 예인데, 구불구불한 곡선이 여려 겹으로 겹쳐진 가장자리 안쪽으로 다양한 크기의 빛나는 동그라미들이 채워져 있다. “평안남도 맹산이 고향인 작가에게 샘과 물은 고향에 대한 추억을 담고 있는 기억의 매체”(이용우)이자. “영혼의 정화를 상징하는 물”(홍윤리)의 의미를 지닌 것으로 보인다. 전쟁의 상처로 얼룩진 작가의 영혼과 어둡고 두꺼운 물감의 마티에르로 뒤덮였던 화면은 맑은 물방울로 치유되고 맑아지는 것으로 승화되었다고 할 수 있다. 1975년 〈르 피가로〉 지 위에 물방울을 그린 것을 시작으로 물방울과 문자가 등장한다. 천자문과 같이 조형성을 갖고 있는 글자를 주로 사용하여 “글자라는 기억의 장치가 곧 사라져버릴 물방울 형상과 만나 미묘한 극적 상황을 연출”(오광수)한다.  〈물방울〉(1992)은 캔버스에 스며든 물자국과 표면에 방울방울 맺힌 물방울이 화면 전체에 어떤 위계관계도 없이 펼쳐진 전면화의 특징을 보인다. 만져질 것 같이 극도의 사실성을 바탕으로 그려진 물방울에는 정작 비친 바깥 세상에 대한 반영이 없어 극사실적인 재현과는 거리가 있다. 스며든 물의 흔적, 표면에 맺힌 물방울의 병치로 상이한 시간대의 공존을 볼 수 있다. ","김창열","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1899","http://collections.eseoul.go.kr/data/art/thumb/0983.jpg"
"984","A02","회화","2001","267","농원","","112 X 162","122.5 X 172.5","1998","캔버스에 유채","","2001","B02","북서울미술관 수장고","","이대원","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1900","http://collections.eseoul.go.kr/data/art/thumb/0984.jpg"
"985","A02","회화","2001","268","삶이야기","","130 X 162","135.5*167.5cm","2001","캔버스에 유채","","2001","B02","북서울미술관 수장고","","황용엽","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1901","http://collections.eseoul.go.kr/data/art/thumb/0985.jpg"
"986","A02","회화","2001","269","삶이야기","","162 X 130","167 X 135","2001","캔버스에 유채","","2001","B02","북서울미술관 수장고","","황용엽","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1902","http://collections.eseoul.go.kr/data/art/thumb/0986.jpg"
"987","A07","사진","2001","270","백남준 사진 포토폴리오","","29.5*24.8cm(*9개)","47.8*34.8cm","1979~1993","사진 (9장)","","2001","B02","북서울미술관 수장고","","한스 허먼&백남준","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1908","http://collections.eseoul.go.kr/data/art/thumb/0987-06.jpg"
"988","A01","한국화","2001","271","세검정","","118 X 120","119 X 121","2001","한지에 수묵","","2001","B02","북서울미술관 수장고","","강경구","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1922","http://collections.eseoul.go.kr/data/art/thumb/0988.jpg"
"989","A01","한국화","2001","272","서십자각","","120 X 118","119 X 121","2001","한지에 수묵","","2001","B02","북서울미술관 수장고","","강경구","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1925","http://collections.eseoul.go.kr/data/art/thumb/0989.jpg"
"990","A02","회화","2001","273","땅이야기 2","","72.7 X 90.9","91 X 117","1991","캔버스에 유채,아크릴릭","","2001","B02","북서울미술관 수장고","","노원희","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1928","http://collections.eseoul.go.kr/data/art/thumb/0990.jpg"
"991","A02","회화","2001","274","옛날옛적에","","65.2 X 53","90.5 X 78.5","1991","캔버스에 유채,아크릴릭","","2001","B02","북서울미술관 수장고","","노원희","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=14286","http://collections.eseoul.go.kr/data/art/thumb/14286.jpg"
"992","A02","회화","2001","275","해변 (아름다운 강산)","","72.5 X 116","77*120.5cm","1998","캔버스에 유채","","2001","B02","북서울미술관 수장고","","이한우","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1930","http://collections.eseoul.go.kr/data/art/thumb/0992.jpg"
"993","A02","회화","2001","276","산중풍경 (山中風景)","","97 X 130","103 X 136.5","1961","캔버스에 유채","","2001","B02","북서울미술관 수장고","","정문현","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1933","http://collections.eseoul.go.kr/data/art/thumb/0993.jpg"
"994","A02","회화","2001","277","산영 (山影)","","70 X 124","93.5 X 147.5","1996","캔버스에 유채","","2001","B02","북서울미술관 수장고","","정문현","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1934","http://collections.eseoul.go.kr/data/art/thumb/0994.jpg"
"995","A02","회화","2001","278","동군 (童群)","","28 X 69","52 X 93","1997","캔버스에 유채","","2001","B02","북서울미술관 수장고","","정문현","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1935","http://collections.eseoul.go.kr/data/art/thumb/0995.jpg"
"996","A02","회화","2001","279","소와 달과 가족의 마을","","130 X 160","132 X 164","1988","캔버스에 유채","","2001","B02","북서울미술관 수장고","","황영성","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1936","http://collections.eseoul.go.kr/data/art/thumb/0996.jpg"
"997","A02","회화","2001","280","작은 가족 이야기","","80*115.8cm","81.8*118.6cm","1994","캔버스에 유채","","2001","B02","북서울미술관 수장고","","황영성","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1937","http://collections.eseoul.go.kr/data/art/thumb/0997.jpg"
"998","A02","회화","2001","281","","Rondo 2","67 X 97","100 X 128.5","1990","캔버스에 유채","","2001","B02","북서울미술관 수장고","","이주영","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1940","http://collections.eseoul.go.kr/data/art/thumb/0998.jpg"
"999","A03","드로잉&판화","2001","282","바람","","39*29cm","62*50cm","1992","목판화","","2001","B01","서소문본관 수장고","","이상국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=1943","http://collections.eseoul.go.kr/data/art/thumb/0999.jpg"
